Words,Sum of Weight
Orange ,6
Pink ,8
Purple ,4
Red ,23.5
White ,5
Yellow ,38
Church,99
Black ,4
Brown ,16
Gray ,6
Pink ,3
Red ,6
White ,61
Yellow ,3
Coffin,99
Black ,39
Brown ,53
Magenta ,2
Orange ,3
Tan ,2
Confident,100
Black ,3
Blue ,25
Gold ,7
Green ,4
Pink ,4
Purple ,6
Red ,31
Violet ,3
White ,4
Yellow ,13
Contempt,100
Black ,19
Blue ,16
Crimson ,2
Gray ,4
Green ,13
Orange ,4
Pale green ,2
Pink ,5
Red ,24.5
White ,5
Yellow ,5.5
Corpse,98
Black ,48.5
Blue ,5
Brown ,6
Gray ,13.5
Red ,5
White ,18
Yellow ,2
Crash,95
Black ,25.5
Blue ,5
Brown ,3
Gray ,7
Orange ,0
Red ,52.5
Yellow ,2
Criminal,99
Black ,56
Blue ,3
Brown ,4
Gray ,9
Orange ,12
Red ,11
White ,4
Crisis,99
Black ,18.5
Blue ,7
Brown ,2
Gray ,7
Green ,4
Orange ,2
Red ,58.5
Cruel,99.5
Black ,34
Blue ,4
Dark red ,2
Gray ,4
Green ,6
Red ,45.5
White ,4
Danger,98
Black ,9
Orange ,4
Red ,82
Yellow ,3
Dead,98.5
Black ,76
Blue ,4
Brown ,2
Gray ,2
Red ,11.5
White ,3
Death,99
Black ,86
Orange ,2
Red ,11
Demon,99
Black ,28
Blue ,2
Purple ,2
Red ,67
Depressed,100
Black ,30.5
Blue ,42.5
Brown ,3
Gray ,12
Green ,2
Red ,7
Yellow ,3
Diamond,98.5
Blue ,3
Clear ,6
Gold ,5
Red ,3
Silver ,8
White ,70.5
Yellow ,3
Diploma,98
Black ,7
Blue ,9
Cream ,5
Gold ,3
Gray ,2
Purple ,2
Tan ,2
White ,68
Disaster,99
Black ,40
Blue ,6
Brown ,9
Gray ,11
Maroon ,2
Red ,31
Discouraged,98
Black ,25
Blue ,29
Brown ,9
Gray ,10
Green ,3
Orange ,2
Red ,15
Yellow ,5
Disgusted,97
Black ,18
Blue ,3
Brown ,21
Gray ,4
Green ,25
Orange ,4
Purple ,2
Red ,20
Violet ,0
White ,0
Divorce,100
Black ,46.5
Blue ,11
Brown ,3
Gray ,5
Green ,7
Red ,25.5
White ,2
Dreadful,99
Black ,53.5
Blue ,5
Brown ,2
Gray ,6
Green ,7
Red ,23.5
White ,2
Elated,98
Baby Blue ,3
Blue ,21
Gray ,5
Green ,5
Orange ,2
Pink ,6
Purple ,5
Red ,9
White ,21
Yellow ,21
Embarrassed,97.5
Black ,5
Blue ,8
Gray ,3
Green ,6
Pink ,4
Purple ,2
Red ,65.5
Yellow ,4
Engaged,99
Blue ,15
Gold ,12.5
Light blue ,2
Pink ,11.5
Red ,8.5
Silver ,9
White ,33.5
Yellow ,7
Enraged,99.5
Black ,15
Blue ,4
Green ,2
Purple ,2
Red ,72.5
White ,2
Yellow ,2
Fear,99.5
Black ,33.5
Blue ,5
Gray ,6
Green ,4
Red ,49
Yellow ,2
Freedom,100
Black ,4
Blue ,27.5
Brown ,3
Forrest green ,2
Green ,7
Red ,17
Royal blue ,2
White ,29.5
Yellow ,8
Friend,99.5
Black ,3
Blue ,24
Brown ,3
Dark green ,2
Gray ,2
Green ,9
Pink ,14
Purple ,5
Red ,6
White ,4
Yellow ,27.5
Friendly,100
Blue ,18
Green ,7
Orange ,3
Pink ,16
Purple ,4
Red ,11
Yellow ,41
Frustrated,97.5
Black ,16.5
Blue ,4
Gray ,6
Green ,9.5
Orange ,3
Purple ,3
Red ,51.5
Yellow ,4
Funeral,99
Black ,82.5
Brown ,7
Gray ,6.5
White ,3
Gift,72
Blue ,30
Gold ,0
Green ,12.5
Orange ,0
Pink ,0
Purple ,0
Red ,22
Silver ,0
White ,0
Yellow ,7.5
God,99
Black ,4
Blue ,3
Gold ,6.5
Purple ,2
Red ,5
White ,76.5
Yellow ,2
Grateful,98.5
Blue ,21.5
Cream ,2
Gray ,5
Green ,15
Lilac ,2
Orange ,6
Pink ,7
Purple ,8
Red ,7
White ,8
Yellow ,17
Grin,99
Blue ,5
Gray ,3
Green ,10.5
Orange ,2
Peach ,3
Pink ,8
Purple ,2
Red ,17.5
White ,27.5
Yellow ,20.5
Guilty,100
Black ,16
Blue ,11
Gray ,12
Green ,20.5
Orange ,4
Red ,29.5
White ,3
Yellow ,4
Gun,96.5
Black ,73.5
Blue ,4
Gray ,8
Pink ,2
Silver ,9
Happy,100
Blue ,8
Green ,6
Pink ,11
Purple ,3
Red ,17
White ,2
Yellow ,53
Heaven,99
Blue ,16
Gold ,3
Green ,2
Silver ,2
White ,72
Yellow ,4
Hell,98
Black ,13
Green ,2
Red ,80
White ,3
Helpless,100
Black ,23.5
Blue ,13
Brown ,5
Coral ,2
Gray ,16.5
Green ,5
Orange ,3
Red ,7
Tan ,3
White ,14
Yellow ,8
Holiday,99
Blue ,6
Brown ,2
Gold ,3
Green ,28.5
Red ,44.5
White ,6
Yellow ,9
Hopeful,99.5
Blue ,29.5
Light blue ,2
Orange ,3
Periwinkle ,2
Pink ,9
Red ,5
Silver ,2
White ,28.5
Yellow ,18.5
Hostile,98.5
Black ,26
Brown ,2
Dark red ,2
Gray ,3
Red ,59.5
White ,3
Yellow ,3
Illness,99
Black ,13
Blue ,9
Gray ,5
Green ,43
Red ,23
White ,2
Yellow ,4
Infection,99
Black ,13
Brown ,8
Gray ,3
Green ,23.5
Pink ,3
Red ,39.5
White ,5
Yellow ,4
Injury,98
Black ,14.5
Blue ,5
Brown ,5
Orange ,2
Pink ,5
Purple ,2
Red ,61.5
White ,3
Inspired,99
Black ,3
Blue ,18.5
Green ,4
Lavender ,2
Peach ,2
Pink ,5
Purple ,5
Red ,14.5
Teal ,2
Violet ,2
White ,18.5
Yellow ,22.5
Insult,99
Black ,26
Blue ,7
Brown ,7
Gray ,8
Green ,14
Purple ,3
Red ,29
Silver ,3
Tan ,2
Jail,100
Black ,31
Blue ,2
Brown ,4
Gray ,41
Orange ,11
Silver ,11
Jealousy,99.5
Black ,2
Blue ,9
Green ,58
Purple ,3
Red ,21.5
Violet ,2
Yellow ,4
Jewel,99.5
Blue ,17
Gold ,12
Golden red ,2
Green ,8
Orange ,4
Pink ,5
Purple ,8
Red ,20.5
Ruby ,2
Silver ,2
White ,17
Yellow ,2
Joke,99.5
Black ,2
Blue ,20.5
Green ,15.5
Magenta ,3
Orange ,6
Pink ,6
Red ,18.5
White ,3
Yellow ,25
Joy,99
Blue ,12
Gold ,2
Green ,7
Orange ,4
Pink ,13
Purple ,4
Red ,21
White ,9
Yellow ,27
Joyful,100
Blue ,26.5
Green ,3
Orange ,2
Pink ,5
Red ,20.5
White ,6
Yellow ,37
Killer,98
Black ,36
Brown ,2
Red ,54
Scarlett ,3
White ,3
Kind,99.5
Blue ,19.5
Green ,13
Pink ,20
Purple ,4
Red ,5
Sea foam green ,3
White ,8
Yellow ,27
Kiss,98.5
Blue ,5
Brown ,2
Pink ,25.5
Red ,63
Yellow ,3
Laughter,99.5
Blue ,15
Green ,3
Orange ,2
Pink ,9
Purple ,3
Red ,15.5
Sky blue ,2
White ,8
Yellow ,42
Lie,95.5
Black ,22.5
Blue ,7.5
Brown ,2
Gray ,2.5
Green ,12.5
Orange ,2
Red ,22
White ,24.5
Lonely,99
Black ,16
Blue ,47
Gray ,13
Green ,3
Light blue ,2
Mahogany ,2
Red ,4
White ,8
Yellow ,4
Love,100
Blue ,4
Gold ,2
Green ,3
Pink ,9
Purple ,2
Red ,76
White ,4
Lucky,100
Black ,2
Blue ,7
Gold ,3
Gray ,2
Green ,50.5
Orange ,2
Pink ,3
Red ,5
White ,4
Yellow ,21.5
Lust,100.5
Black ,8
Blue ,2
Brown ,2
Orange ,2
Pink ,8
Purple ,4
Red ,68.5
Violet ,3
Yellow ,3
Mad,98
Black ,13
Brown ,2
Red ,83
Massacre,99
Black ,13
Blue ,3
Gold ,2
Red ,79
White ,2
Merry,98.5
Blue ,6
Green ,13
Pink ,3
Purple ,2
Red ,64.5
Yellow ,10
Millionaire,98
Blue ,4
Gold ,3
Green ,84
Red ,3
White ,4
Miracle,99.5
Aqua ,2
Blue ,18
Gold ,9
Green ,3
Off-White ,2
Pink ,5
Red ,4
White ,47.5
Yellow ,9
Misery,99
Black ,46.5
Blue ,10.5
Brown ,2
Gray ,10.5
Green ,5.5
Red ,20
White ,4
Money,98
Green ,98
Moody,99.5
Black ,13
Blue ,21.5
Brown ,8
Gray ,17
Green ,9
Navy ,2
Orange ,2
Purple ,8
Red ,13
White ,2
Yellow ,4
Morbid,100
Black ,68
Brown ,3
Gray ,9
Green ,2
Red ,11
White ,4
Yellow ,3
Nervous,99
Black ,5
Blue ,15
Brown ,5
Gray ,8
Green ,16
Light green ,2
Orange ,8
Red ,22
White ,4
Yellow ,14
Nice,98
Black ,3
Blue ,24
Gold ,3
Pink ,16.5
Purple ,2
Red ,5
Silver ,2
White ,13
Yellow ,29.5
Nightmare,99
Black ,74
Blue ,5
Gray ,3
Green ,5
Red ,12
Outdoors,99
Blue ,19.5
Forrest green ,2
Gray ,4
Green ,63.5
White ,5
Yellow ,5
Pain,99
Black ,8
Blue ,6
Cream ,3
Dark red ,2
Orange ,2
Red ,71
White ,4
Yellow ,3
Panic,100
Beige ,2
Black ,8
Blue ,8
Brown ,2
Green ,2
Red ,71
White ,3
Yellow ,4
Passion,99.5
Blue ,4
Dark red ,3
Pink ,6
Red ,77.5
Scarlett ,2
White ,4
Yellow ,3
Peace,100
Blue ,28
Green ,8
Orange ,4
Pink ,4
Purple ,2
Sky blue ,2
White ,44
Yellow ,8
Poison,100
Black ,34.5
Blue ,2
Clear ,2
Green ,27
Lime green ,2
Red ,25.5
White ,4
Yellow ,3
Pollute,99
Black ,36.5
Brown ,10
Gray ,38.5
Green ,10
White ,2
Yellow ,2
Poverty,99
Black ,33
Blue ,8
Brown ,24
Gray ,17
Green ,6
Orange ,3
Pink ,2
Red ,4
Silver ,2
Pretty,101
Black ,6
Blue ,6
Brown ,2
Green ,5
Pink ,63
Purple ,5
Red ,9
Yellow ,5
Proud,98.5
Black ,4
Blue ,27.5
Green ,4
Orange ,5
Pink ,3
Purple ,8
Red ,21
White ,10
Yellow ,16
Punishment,98
Black ,32
Blue ,5
Gray ,3
Green ,4
Purple ,2
Red ,49
Silver ,3
Rage,98
Black ,8
Red ,90
Rape,99
Black ,37
Blue ,2
Gray ,3
Red ,57
Regretful,99.5
Black ,27.5
Blue ,16
Brown ,2
Gray ,7
Green ,8
Orange ,2
Purple ,3
Red ,28.5
Yellow ,5.5
Relaxed,97
Blue ,42
Brown ,2
Gray ,2
Green ,5.5
Lavender ,2
Light blue ,3
Pink ,6
Red ,4
Sky blue ,5
Tan ,0
White ,13.5
Yellow ,12
Rescue,98
Black ,5
Blue ,15.5
Brown ,2
Red ,62.5
White ,5
Yellow ,8
Riches,96
Gold ,39
Green ,39
Red ,7
Yellow ,11
Robber,100
Black ,83
Blue ,2
Brown ,2
Green ,3
Red ,10
Romantic,99
Blue ,2
Pink ,8
Red ,87
White ,2
Sad,98.5
Black ,18.5
Blue ,60
Brown ,0
Gray ,4
Green ,3
Purple ,2
Red ,7
Yellow ,4
Safe,99
Black ,4
Blue ,29.5
Gold ,2
Gray ,5.5
Green ,8
Orange ,2
Pink ,3
Red ,5
White ,30.5
Yellow ,9.5
Satisfied,98
Blue ,33
Green ,9
Lime green ,2
Orange ,4
Pink ,7
Red ,18
White ,11
Yellow ,14
Scared,97.5
Black ,31.5
Blue ,10.5
Green ,4
Orange ,3
Red ,38.5
White ,4
Yellow ,6
Secure,99.5
Black ,3
Blue ,27
Gray ,5
Green ,8
Light blue ,2
Purple ,2
Red ,14
Sapphire ,2
Silver ,5
White ,22.5
Yellow ,9
Shamed,99.5
Black ,13.5
Blue ,15
Coffee black ,2
Dark Gray ,2
Gray ,14
Green ,10
Orange ,2
Pink ,3
Purple ,2
Red ,25
Yellow ,11
Sick,99
Black ,4
Blue ,8
Brown ,6
Gray ,5
Green ,59.5
Orange ,5
Red ,6.5
Tan ,2
White ,3
Sickness,99
Beige ,2
Black ,11.5
Blue ,8
Brown ,5
Gray ,3
Green ,46
Red ,17.5
Yellow ,6
Slave,100
Black ,68
Blue ,3
Brown ,12
Gray ,4
Green ,3
Red ,8
Yellow ,2
Suicide,99
Black ,42.5
Blue ,5
Green ,4
Red ,45.5
White ,2
Surprised,98.5
Black ,2
Blue ,8
Green ,3
Orange ,8
Pink ,7
Purple ,3
Red ,32
White ,9
Yellow ,26.5
Suspicious,100
Black ,14
Blue ,8
Brown ,2
Gray ,13
Green ,15
Orange ,7
Purple ,3
Red ,36
White ,2
Tense,98.5
Black ,17.5
Blue ,5.5
Brown ,5
Gray ,7
Green ,8.5
Orange ,6
Purple ,2
Red ,41
White ,3
Yellow ,3
Terrified,97
,0
Black ,35.5
Blue ,9
Gray ,6
Green ,6
Red ,37.5
White ,3
Thrill,98
Black ,6
Blue ,14
Forrest green ,2
Green ,8
Orange ,7
Red ,51
Yellow ,10
Tomb,100
Beige ,2
Black ,39.5
Brown ,16.5
Gold ,3
Gray ,28
Green ,2
Red ,3
Sandstone ,2
Yellow ,4
Toothache,100
Black ,8
Brown ,2
Dark red ,2
Gray ,2.5
Green ,3
Red ,32.5
White ,46
Yellow ,4
Tornado,99
Black ,18
Blue ,12
Brown ,8
Gray ,49
Green ,2
Red ,6
White ,2
Yellow ,2
Tragedy,99
Black ,36.5
Blue ,12
Brown ,2
Gray ,7
Red ,36.5
White ,3
Yellow ,2
Trash,100
Black ,49.5
Brown ,13
Dark green ,2
Gray ,16.5
Green ,9
White ,10
Trauma,100
Black ,17
Blue ,8
Gray ,8
Green ,4
Navy ,2
Orange ,2
Red ,51
White ,8
Treasure,98.5
Brown ,9
Gold ,72.5
Green ,2
Pearl White ,2
Red ,2
White ,3
Yellow ,8
Triumph,99
Black ,3
Blue ,12
Bronze ,2
Gold ,26.5
Green ,2
Purple ,2
Red ,16
White ,6
Yellow ,29.5
Triumphant,100
Black ,4
Blue ,11
Brown ,3
Gold ,10
Gray ,5
Green ,4
Pink ,2
Purple ,5
Red ,21.5
Silver ,3
White ,6
Yellow ,25.5
Trophy,98.5
Black ,2
Gold ,72.5
Red ,3
Silver ,4
Yellow ,17
Troubled,99.5
Black ,13
Blue ,17
Brown ,5
Gray ,13
Green ,13
Orange ,3
Purple ,2
Red ,31.5
White ,2
Ugly,101
Black ,26.5
Blue ,4
Brown ,35.5
Chartreuse ,2
Gray ,8
Green ,8
Orange ,3
Purple ,3
Red ,3
White ,4
Yellow ,4
Ulcer,100
Black ,22.5
Blue ,4
Brown ,9
Crimson ,2
Gray ,4
Orange ,3
Peach ,2
Pink ,6
Red ,32.5
White ,9
Yellow ,6
Unfaithful,99
Black ,35
Blue ,8
Gray ,5
Green ,6
Orange ,5
Pink ,5
Purple ,2
Red ,26
White ,3
Yellow ,4
Unhappy,99
Black ,19
Blue ,41
Brown ,4
Gray ,15
Green ,3
Orange ,2
Red ,11
Yellow ,4
Upset,99
Black ,14
Blue ,41
Brown ,3
Gray ,8
Navy ,2
Orange ,2
Purple ,2
Red ,27
Vacation,98.5
Beige ,4
Black ,3
Blue ,48
Green ,3
Orange ,4
Purple ,2
Red ,4
White ,3
Yellow ,27.5
Victim,99
,0
Black ,15
Blue ,8
Brown ,3
Gray ,12
Midnight blue ,2
Pink ,2
Red ,43
Violet ,2
White ,12
Victory,100
Blue ,20
Brown ,2
Gold ,21.5
Green ,4
Pink ,2
Red ,30.5
Silver ,3
White ,10
Yellow ,7
Violent,98
Black ,22.5
Purple ,8
Red ,60.5
Violet ,7
War,98.5
Black ,11
Blue ,4
Brown ,9
Gray ,6
Green ,10
Red ,58.5
Waterfall,99
Aqua ,3
Blue ,79
Forrest green ,2
Gray ,3
White ,12
Wedding,100
Gold ,2
Red ,3
White ,95
Wish,97.5
Blue ,23
Cream ,2
Gold ,6.5
Green ,7.5
Pink ,5
Red ,6
White ,33
Yellow ,14.5
